match_id,champion,game_mode,win,game_date,hour_of_day,day_of_week,duration_mins,kills,deaths,assists,kda,kill_participation,damage_per_min,team_damage_pct,gold_per_min,total_damage,total_damage_taken,damage_mitigated,skillshots_hit,skillshots_dodged,dodge_small_window,immobilizations,solo_kills,ability_uses,champ_level,time_spent_dead,longest_life,largest_spree,largest_multikill,cs,cs_per_min,vision_score,vision_per_min,lane,role
NA1_5447295079,Senna,SR_Other,True,2025-12-26,3,Friday,37.0,4,5,21,5.0,56.8,805.7,11.9,668.7,29860,33229,30975,41,46,1,28,0,221,18,196,692,2,1,68.0,1.84,85.0,2.31,MIDDLE,SUPPORT
NA1_5426828770,Senna,SR_Other,True,2025-12-03,5,Wednesday,27.2,2,2,11,6.5,40.6,350.1,9.6,547.9,9522,14561,6081,17,76,12,15,0,135,18,44,494,0,1,63.0,2.32,75.0,2.78,BOTTOM,SUPPORT
NA1_5477887477,Senna,SR_Other,False,2026-01-29,4,Thursday,20.1,0,5,0,0.0,0.0,301.6,10.6,571.6,6060,19581,8093,19,16,0,14,0,107,14,146,854,0,0,42.0,2.09,30.0,1.51,BOTTOM,SUPPORT
NA1_5426781257,Swain,SR_Other,False,2025-12-03,4,Wednesday,22.3,5,5,8,2.6,48.1,1370.7,26.4,460.6,30570,25974,12221,63,15,0,37,1,196,14,112,568,3,2,67.0,3.0,22.0,0.99,BOTTOM,CARRY
NA1_5532954022,Senna,SR_Other,True,2026-04-07,5,Tuesday,27.0,0,8,11,1.375,30.6,359.7,6.5,733.5,9703,18712,8436,27,5,0,19,0,140,18,192,489,0,0,24.0,0.89,69.0,2.58,BOTTOM,SUPPORT
NA1_5417588034,Maokai,ARAM,False,2025-11-20,18,Thursday,8.4,1,4,7,2.0,72.7,560.0,15.8,639.6,4703,14662,7968,18,66,4,27,0,91,10,70,108,0,1,,,,,,
NA1_5417580329,Kayle,ARAM,False,2025-11-20,18,Thursday,15.4,9,10,14,2.3,65.7,844.1,17.2,764.8,13024,22368,11651,10,93,9,2,0,96,15,189,108,4,4,,,,,,
NA1_5447369414,Senna,SR_Other,False,2025-12-26,4,Friday,30.3,7,9,10,1.8888888888888888,48.6,501.1,11.5,607.9,15199,30749,13514,29,5,0,22,0,162,18,306,479,5,2,34.0,1.12,59.0,1.97,BOTTOM,SUPPORT
NA1_5399927958,Swain,SR_Other,False,2025-10-25,4,Saturday,16.7,0,4,1,0.25,14.3,276.6,15.2,415.0,4632,10010,5005,23,42,2,18,0,84,11,93,412,0,0,42.0,2.51,26.0,1.58,NONE,SUPPORT
NA1_5418116721,Nami,ARAM,True,2025-11-21,6,Friday,14.9,3,3,40,14.333333333333334,100.0,803.2,11.9,671.3,11957,12324,5814,41,50,1,37,0,180,15,49,522,2,1,,,,,,
NA1_5412452328,Senna,SR_Other,True,2025-11-13,6,Thursday,27.1,3,2,12,7.5,50.0,517.5,12.4,559.0,14018,17034,10001,21,5,0,21,0,138,18,98,1327,2,1,61.0,2.25,70.0,2.61,BOTTOM,SUPPORT
NA1_5402026200,Swain,SR_Other,True,2025-10-28,5,Tuesday,34.1,6,3,16,7.333333333333333,45.8,650.2,14.0,710.9,22212,36469,30120,46,29,0,41,0,303,18,138,733,3,2,117.0,3.43,65.0,1.91,BOTTOM,SUPPORT
